Timestamp,hash-rate
2020-08-26 00:00:00,122408096.68320668
2020-08-27 00:00:00,123504835.10932188
2020-08-28 00:00:00,122017801.82510361
2020-08-29 00:00:00,123686955.52615404
2020-08-30 00:00:00,125523152.51213118
2020-08-31 00:00:00,122462847.34276739
2020-09-01 00:00:00,122817197.05918734
2020-09-02 00:00:00,126059072.31151107
2020-09-03 00:00:00,126308447.33092059
2020-09-04 00:00:00,126308447.33092059
2020-09-05 00:00:00,122817197.05918734
2020-09-06 00:00:00,122193759.51066355
2020-09-07 00:00:00,125061572.23387301
2020-09-08 00:00:00,128038750.60213165
2020-09-09 00:00:00,127930089.15456918
2020-09-10 00:00:00,128329210.60868771
2020-09-11 00:00:00,131707283.00142752
2020-09-12 00:00:00,131873589.68471679
2020-09-13 00:00:00,135233596.35173267
